time="2019-12-08T15:35:41+08:00" level=debug msg="start main"
time="2019-12-08T15:35:41+08:00" level=debug msg="rabbitmq "
time="2019-12-08T15:35:41+08:00" level=debug msg="dial url [amqp://test:test@192.168.1.110:5672]"
time="2019-12-08T15:35:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:35:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:35:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:35:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:11+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:16+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:21+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:26+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:31+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:36+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:36:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:11+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:16+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:21+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:26+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:31+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:36+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:37:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:11+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:16+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:21+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:26+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:31+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:36+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:38:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:11+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:16+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:21+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:26+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:31+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:36+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:41+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:46+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:51+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:39:56+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:40:01+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
time="2019-12-08T15:40:06+08:00" level=debug msg="data server [192.168.1.110] send heart beat"
rt beat","time":"2019-12-08T15:34:10+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:21:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:22:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:23:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:24:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:25:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:26:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:21+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:26+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:31+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:36+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:41+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:46+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:51+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:27:56+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:28:01+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:28:06+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:28:11+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:28:16+08:00"}
{"level":"debug","msg":"data server [192.168.1.110] send heart beat","time":"2019-12-08T15:28:21+08:00"}
